detection_strength,sparse,arm,n_rep,bias,rmse
0.4,False,naive,12,-13.81,14.2
0.4,False,det_only,12,-9.32,9.86
0.4,False,sparse_only,12,-7.27,7.87
0.4,False,composed,12,-2.13,3.42
0.4,False,joint,12,-2.69,4.7
0.4,True,naive,12,-13.75,14.48
0.4,True,det_only,12,-7.55,9.6
0.4,True,sparse_only,12,-7.16,9.93
0.4,True,composed,12,-0.38,4.7
0.4,True,joint,12,-0.39,8.07
0.8,False,naive,12,-15.96,16.35
0.8,False,det_only,12,-8.69,9.18
0.8,False,sparse_only,12,-11.08,11.67
0.8,False,composed,12,-0.55,3.36
0.8,False,joint,12,-2.65,5.07
0.8,True,naive,12,-17.53,18.09
0.8,True,det_only,12,-6.03,8.89
0.8,True,sparse_only,12,-10.04,11.69
0.8,True,composed,12,3.35,6.52
0.8,True,joint,12,1.49,9.7
1.2,False,naive,12,-12.52,13.16
1.2,False,det_only,12,-7.09,7.68
1.2,False,sparse_only,12,-6.39,8.96
1.2,False,composed,12,7.55,9.31
1.2,False,joint,12,-2.84,7.01
1.2,True,naive,12,-14.12,14.61
1.2,True,det_only,12,-4.47,7.54
1.2,True,sparse_only,12,-9.97,13.07
1.2,True,composed,12,7.27,9.59
1.2,True,joint,12,2.54,9.69
