scenario,arm,n_rep,mean_vpc_true,bias_naive,bias_corrected,bias_reduction_pct,classification
M1-1,correctly_specified,20,19.63,-7.55,-1.31,82.6,attenuated-but-positive (exceeds mild-target anyway)
M1-1,omit_rural,20,19.63,-7.55,-3.64,51.7,PASS
M1-1,wrong_covariate,20,19.63,-7.55,-5.63,25.4,attenuated-but-net-neutral-or-positive
M1-1,quadratic,20,19.63,-7.55,9.73,-28.8,BREAKDOWN
M1-2,severity_weight=0.0,20,19.63,-7.55,-1.31,82.6,PASS
M1-2,severity_weight=0.3,20,19.63,-7.22,-3.93,45.5,PASS
M1-2,severity_weight=0.6,20,19.63,-7.18,-6.01,16.3,attenuated-but-net-neutral-or-positive
M1-2,severity_weight=0.8,20,19.63,-7.14,-7.17,-0.4,attenuated-but-net-neutral-or-positive
M1-2,severity_weight=1.0,20,19.63,-7.04,-7.79,-10.7,BREAKDOWN
M1-3,baseline_logit=1.0,20,19.63,-7.55,4.1,45.7,attenuated-but-positive (exceeds mild-target anyway)
M1-3,baseline_logit=1.5,20,19.63,-7.55,2.46,67.5,attenuated-but-positive (exceeds mild-target anyway)
M1-3,baseline_logit=2.0,20,19.63,-7.55,-1.31,82.6,attenuated-but-positive (exceeds mild-target anyway)
M1-3,baseline_logit=2.5,20,19.63,-7.55,-4.97,34.2,attenuated-but-net-neutral-or-positive
M1-3,baseline_logit=3.0,20,19.63,-7.55,-6.9,8.7,attenuated-but-net-neutral-or-positive
